snapshot_updated_at_utc,pick_id,game_id,gameday,season,week,away_team,home_team,pick_side,bookmaker,open_total_line,projected_total_points,projected_total_edge,open_pick_odds,model_pick_prob,market_pick_prob,edge_pct,recommended_total_ev_per_dollar,closing_total_line,closing_pick_odds,clv_total_line_delta,clv_american_delta,clv_status
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|DET@BUF|UNDER,oddsapi_56e8897681915f7ec92baeee952bb1ae,2026-09-18 00:15:00+00:00,2026,2,DET,BUF,UNDER,nflverse,54.5,54.30736801949562,-0.19263198050438035,-106.0,0.5057166219683498,0.49133599029630914,1.4380631672040622,-0.017192225231320246,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|CAR@ATL|OVER,oddsapi_aee7eae1849ebb103b9bf233e9741392,2026-09-20 17:00:00+00:00,2026,2,CAR,ATL,OVER,nflverse,43.5,43.96088987822279,0.4608898782227868,-115.0,0.5136753370327375,0.5108342361863488,0.28411008463886667,-0.0396504568518386,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|NO@BAL|OVER,oddsapi_2143ade9684fd876b68a4e8cbf451f05,2026-09-20 17:00:00+00:00,2026,2,NO,BAL,OVER,nflverse,46.5,47.57339933715388,1.0733993371538801,-115.0,0.5318218884948674,0.5108342361863488,2.0987652308518623,-0.005724295422639136,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|MIN@CHI|UNDER,oddsapi_0283a29e1b38ef78b29b904fd56a16dd,2026-09-20 17:00:00+00:00,2026,2,MIN,CHI,UNDER,nflverse,48.5,47.773923600528676,-0.7260763994713244,-115.0,0.5215375917459635,0.5108342361863488,1.0703355559614658,-0.024951458909720448,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|CIN@HOU|UNDER,oddsapi_36ad2fa722f4915ef23d2c81351261de,2026-09-20 17:00:00+00:00,2026,2,CIN,HOU,UNDER,nflverse,45.5,44.11358782717172,-1.3864121728282797,-106.0,0.5410722910744012,0.49133599029630914,4.97363007780921,0.051517848691760904,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|CLE@TB|OVER,oddsapi_0636ebff776d43f8c829a36713c80b22,2026-09-20 17:00:00+00:00,2026,2,CLE,TB,OVER,nflverse,41.5,41.90889177983337,0.4088917798333682,-105.0,0.5121329766331644,0.4891657638136511,2.296721281951325,-0.00012133133525055184,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|GB@NYJ|OVER,oddsapi_4aeee070bb6ec60bdfae4dede61b9014,2026-09-20 17:00:00+00:00,2026,2,GB,NYJ,OVER,nflverse,44.5,44.651617494275904,0.15161749427590365,-115.0,0.5044995186321208,0.5108342361863488,-0.6334717554227987,-0.056805247774730616,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|PIT@NE|OVER,oddsapi_9d14f87600f6edc74dbcb5c74edf6246,2026-09-20 17:00:00+00:00,2026,2,PIT,NE,OVER,nflverse,41.5,43.13984510672062,1.639845106720621,-110.0,0.5485459168804454,0.5,4.8545916880445406,0.047224023135395754,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|PHI@TEN|OVER,oddsapi_fafc649c455e32a0f2ba1bd06e2039bc,2026-09-20 17:00:00+00:00,2026,2,PHI,TEN,OVER,nflverse,39.5,40.32183388917279,0.8218338891727868,-110.0,0.5243747135085159,0.5,2.4374713508515944,0.001078998516257701,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|JAX@DEN|OVER,oddsapi_1fd6628c781f556a7a19638e97d7107f,2026-09-20 20:05:00+00:00,2026,2,JAX,DEN,OVER,nflverse,45.5,46.775848810806934,1.2758488108069344,-105.0,0.537807114152424,0.4891657638136511,4.864135033877287,0.05000436572616107,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|LV@LAC|OVER,oddsapi_71b3b83747589efdc5baef2c5cf811bf,2026-09-20 20:05:00+00:00,2026,2,LV,LAC,OVER,nflverse,43.5,44.09709148515299,0.5970914851529869,-110.0,0.5177143017448235,0.5,1.7714301744823469,-0.011636333032609747,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|SEA@ARI|UNDER,oddsapi_4dd8020192a544385db42374e5555303,2026-09-20 20:25:00+00:00,2026,2,SEA,ARI,UNDER,nflverse,41.5,41.12070128155638,-0.3792987184436214,-120.0,0.5112551088282998,0.519280205655527,-0.8025096827227185,-0.06269896714811696,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|WAS@DAL|UNDER,oddsapi_85ef85098ddd22fe4ecf45e7e3c0a9c0,2026-09-20 20:25:00+00:00,2026,2,WAS,DAL,UNDER,nflverse,50.5,50.47835511966849,-0.021644880331507466,-110.0,0.50064236363774,0.5,0.06423636377399511,-0.04422821487340556,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|MIA@SF|OVER,oddsapi_68bc55903f50af4af4766adcc89fcc61,2026-09-20 20:25:00+00:00,2026,2,MIA,SF,OVER,nflverse,45.5,46.03757228352097,0.5375722835209729,-110.0,0.5159495000440742,0.5,1.594950004407425,-0.015005499915858256,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|IND@KC|OVER,oddsapi_50bc247030707d823b9c3581d7eb5760,2026-09-21 00:20:00+00:00,2026,2,IND,KC,OVER,nflverse,46.5,46.693479193388086,0.19347919338808595,-110.0,0.5057417624568455,0.5,0.5741762456845545,-0.034492998946022146,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w2|NYG@LA|OVER,oddsapi_32367f882fac1a0c20a6335619922025,2026-09-22 00:15:00+00:00,2026,2,NYG,LA,OVER,nflverse,47.5,49.25130984666426,1.7513098466642631,-118.0,0.5518276816055484,0.5149751839808318,3.685249762471665,0.019478259237369067,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|ATL@GB|UNDER,oddsapi_e5fbd3b3953b896b1bf897ddadb3cc4b,2026-09-25 00:15:00+00:00,2026,3,ATL,GB,UNDER,nflverse,45.5,44.955435668803034,-0.5445643311969661,-105.0,0.516156837864103,0.4891657638136511,2.6991074050451926,0.007734778687058297,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|LAC@BUF|OVER,oddsapi_b225458a282e140c44c45651255f2f6c,2026-09-27 17:00:00+00:00,2026,3,LAC,BUF,OVER,nflverse,50.5,51.00829620952475,0.508296209524751,-115.0,0.5150813194214792,0.5108342361863488,0.42470832351303445,-0.03702188108158244,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|CAR@CLE|OVER,oddsapi_613b8cd3a5fab58f7be4e3fd6f76223e,2026-09-27 17:00:00+00:00,2026,3,CAR,CLE,OVER,nflverse,39.5,39.75430196128527,0.2543019612852717,-105.0,0.5075465725907402,0.4891657638136511,1.8380808777089086,-0.009075739227602464,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|CIN@PIT|UNDER,oddsapi_71123be049587b6facce3a20c53e5d09,2026-09-27 17:00:00+00:00,2026,3,CIN,PIT,UNDER,nflverse,46.5,46.483992642630376,-0.016007357369623776,-115.0,0.5004750567416474,0.5108342361863488,-1.0359179444701438,-0.06432924174387666,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|NYJ@DET|UNDER,oddsapi_07f552badfa8a565d1be22123713e4da,2026-09-27 17:00:00+00:00,2026,3,NYJ,DET,UNDER,nflverse,47.5,45.63658954433691,-1.863410455663093,-115.0,0.5551245936414657,0.5108342361863488,4.429035745511689,0.037841631590566305,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|HOU@IND|UNDER,oddsapi_17a730b7d399feeab6a78c30767c29d2,2026-09-27 17:00:00+00:00,2026,3,HOU,IND,UNDER,nflverse,44.5,44.07129155007593,-0.4287084499240734,-110.0,0.5127207986139655,0.5,1.2720798613965467,-0.021169384464247765,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|NE@JAX|OVER,oddsapi_1f3cfd315a24d1a7dd5859a8e6b88e18,2026-09-27 17:00:00+00:00,2026,3,NE,JAX,OVER,nflverse,46.5,47.568737286699466,1.0687372866994664,-105.0,0.5316839694085832,0.4891657638136511,4.251820559493208,0.03804965455961484,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|KC@MIA|UNDER,oddsapi_0339a0e41bcee12820eb3e64bb5fadb4,2026-09-27 17:00:00+00:00,2026,3,KC,MIA,UNDER,nflverse,44.5,44.045025851882876,-0.4549741481171239,-110.0,0.5134998753447451,0.5,1.349987534474506,-0.019682056160032158,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|TEN@NYG|OVER,oddsapi_555afd4a27aaa392662881cffa8f2eef,2026-09-27 17:00:00+00:00,2026,3,TEN,NYG,OVER,nflverse,42.5,43.90614657241071,1.4061465724107123,-110.0,0.5416548059906746,0.5,4.165480599067461,0.03406826598219698,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|SEA@WAS|OVER,oddsapi_2a529c108305ffa049d8b6cfdbaa4d36,2026-09-27 17:00:00+00:00,2026,3,SEA,WAS,OVER,nflverse,42.5,43.214024315566895,0.7140243155668955,-105.0,0.5211804299111535,0.4891657638136511,3.201466609750242,0.01754274411225215,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|ARI@SF|UNDER,oddsapi_9d2b09e0f9b6dd5ce0d985894f4f98fa,2026-09-27 20:05:00+00:00,2026,3,ARI,SF,UNDER,nflverse,48.5,47.82606122555726,-0.673938774442739,-110.0,0.5199923796894039,0.5,1.9992379689403927,-0.007287275138410709,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|MIN@TB|OVER,oddsapi_f1724dead3eab61546033032fc782375,2026-09-27 20:05:00+00:00,2026,3,MIN,TB,OVER,nflverse,46.5,46.650284400107154,0.15028440010715371,-110.0,0.5044599583486871,0.5,0.44599583486870653,-0.036940079516142865,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|BAL@DAL|OVER,oddsapi_84cfca14efc21363fd605508404cf1ff,2026-09-27 20:25:00+00:00,2026,3,BAL,DAL,OVER,nflverse,52.5,53.52510767789234,1.0251076778923434,-105.0,0.5303930771748655,0.4891657638136511,4.122731336121438,0.03552934115092787,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|LV@NO|OVER,oddsapi_2e523fcb0497aa689473e290eb2b97de,2026-09-27 20:25:00+00:00,2026,3,LV,NO,OVER,nflverse,44.5,46.49850668832957,1.9985066883295701,-115.0,0.5590927322976194,0.5108342361863488,4.825849611127053,0.04526032559989707,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|LA@DEN|OVER,oddsapi_3bfd8bfb4b8e9a365a0877879b73b16b,2026-09-28 00:20:00+00:00,2026,3,LA,DEN,OVER,nflverse,46.5,47.16920610871994,0.6692061087199406,-105.0,0.5198521016103711,0.4891657638136511,3.0686337796719974,0.014949341239295921,,,,,pending
2026-09-17T12:56:49.051466+00:00,tot|2026|w3|PHI@CHI|OVER,oddsapi_47dc7baa254659f3beb2ed2b38c207b6,2026-09-29 00:15:00+00:00,2026,3,PHI,CHI,OVER,nflverse,48.5,48.842822148161,0.3428221481609981,-102.0,0.5101729695629065,0.48071979434447304,2.945317521843344,0.010342547565755922,,,,,pending
