snapshot_updated_at_utc,pick_id,game_id,gameday,season,week,away_team,home_team,pick_side,pick_team,bookmaker,open_pick_odds,model_pick_prob,market_pick_prob,edge_pct,recommended_ev_per_dollar,closing_pick_odds,clv_american_delta,clv_status
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|DET@BUF|AWAY,oddsapi_56e8897681915f7ec92baeee952bb1ae,2026-09-18 00:15:00+00:00,2026,2,DET,BUF,AWAY,DET,,194.0,0.33443937311953276,0.32654254800662835,0.7896825112904404,-0.016748243028573695,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|CAR@ATL|AWAY,oddsapi_aee7eae1849ebb103b9bf233e9741392,2026-09-20 17:00:00+00:00,2026,2,CAR,ATL,AWAY,CAR,,-132.0,0.6136098048047323,0.5467333541731791,6.687645063155312,0.07846571753559001,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|NO@BAL|HOME,oddsapi_2143ade9684fd876b68a4e8cbf451f05,2026-09-20 17:00:00+00:00,2026,2,NO,BAL,HOME,BAL,,-420.0,0.7956016260030097,0.7723292469352013,2.3272379067808324,-0.0149694154248452,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|MIN@CHI|AWAY,oddsapi_0283a29e1b38ef78b29b904fd56a16dd,2026-09-20 17:00:00+00:00,2026,2,MIN,CHI,AWAY,MIN,,200.0,0.37117308043148933,0.3194444444444444,5.172863598704492,0.113519241294468,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|CIN@HOU|HOME,oddsapi_36ad2fa722f4915ef23d2c81351261de,2026-09-20 17:00:00+00:00,2026,2,CIN,HOU,HOME,HOU,,-158.0,0.6014633612972955,0.5889887210858344,1.2474640211461052,-0.017863625223403512,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|CLE@TB|AWAY,oddsapi_0636ebff776d43f8c829a36713c80b22,2026-09-20 17:00:00+00:00,2026,2,CLE,TB,AWAY,CLE,,350.0,0.2520800468582869,0.21359223300970873,3.848781384857816,0.134360210862291,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|GB@NYJ|HOME,oddsapi_4aeee070bb6ec60bdfae4dede61b9014,2026-09-20 17:00:00+00:00,2026,2,GB,NYJ,HOME,NYJ,,162.0,0.379963844029908,0.3664556015356235,1.3508242494284506,-0.0044947286416409105,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|PIT@NE|AWAY,oddsapi_9d14f87600f6edc74dbcb5c74edf6246,2026-09-20 17:00:00+00:00,2026,2,PIT,NE,AWAY,PIT,,205.0,0.3202070236585284,0.31460674157303364,0.5600282085494734,-0.02336857784148849,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|PHI@TEN|HOME,oddsapi_fafc649c455e32a0f2ba1bd06e2039bc,2026-09-20 17:00:00+00:00,2026,2,PHI,TEN,HOME,TEN,,280.0,0.2609796163266119,0.2528089887640449,0.8170627562566979,-0.008277457958875023,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|JAX@DEN|HOME,oddsapi_1fd6628c781f556a7a19638e97d7107f,2026-09-20 20:05:00+00:00,2026,2,JAX,DEN,HOME,DEN,,-148.0,0.5981250152859308,0.5742343084741106,2.389070681182015,0.002263539127775882,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|LV@LAC|AWAY,oddsapi_71b3b83747589efdc5baef2c5cf811bf,2026-09-20 20:05:00+00:00,2026,2,LV,LAC,AWAY,LV,,250.0,0.3242185857551081,0.27424749163879597,4.997109411631212,0.13476505014287832,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|SEA@ARI|AWAY,oddsapi_4dd8020192a544385db42374e5555303,2026-09-20 20:25:00+00:00,2026,2,SEA,ARI,AWAY,SEA,,-198.0,0.7451843061204556,0.6386477179027017,10.653658821775391,0.12154001628230188,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|WAS@DAL|AWAY,oddsapi_85ef85098ddd22fe4ecf45e7e3c0a9c0,2026-09-20 20:25:00+00:00,2026,2,WAS,DAL,AWAY,WAS,,172.0,0.41051075971918305,0.35358219336888475,5.69285663502983,0.11658926643617784,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|MIA@SF|AWAY,oddsapi_68bc55903f50af4af4766adcc89fcc61,2026-09-20 20:25:00+00:00,2026,2,MIA,SF,AWAY,MIA,,660.0,0.12921802559433948,0.1264367816091954,0.2781243985144094,-0.01794300548301997,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|IND@KC|AWAY,oddsapi_50bc247030707d823b9c3581d7eb5760,2026-09-21 00:20:00+00:00,2026,2,IND,KC,AWAY,IND,,265.0,0.2933789062452642,0.2630773936983787,3.030151254688551,0.07083300779521429,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w2|NYG@LA|HOME,oddsapi_32367f882fac1a0c20a6335619922025,2026-09-22 00:15:00+00:00,2026,2,NYG,LA,HOME,LA,,-360.0,0.7571880479036764,0.7532188841201718,0.3969163783504648,-0.032481938789746756,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|ATL@GB|AWAY,oddsapi_e5fbd3b3953b896b1bf897ddadb3cc4b,2026-09-25 00:15:00+00:00,2026,3,ATL,GB,AWAY,ATL,,225.0,0.3727671568591018,0.29556650246305427,7.720065439604751,0.21149325979208078,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|LAC@BUF|HOME,oddsapi_b225458a282e140c44c45651255f2f6c,2026-09-27 17:00:00+00:00,2026,3,LAC,BUF,HOME,BUF,,-215.0,0.6673312448192003,0.6564885496183206,1.084269520087966,-0.022282129683497298,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|CAR@CLE|AWAY,oddsapi_613b8cd3a5fab58f7be4e3fd6f76223e,2026-09-27 17:00:00+00:00,2026,3,CAR,CLE,AWAY,CAR,,-154.0,0.6248166924937393,0.5823742190069057,4.244247348683361,0.030541817489673884,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|CIN@PIT|AWAY,oddsapi_71123be049587b6facce3a20c53e5d09,2026-09-27 17:00:00+00:00,2026,3,CIN,PIT,AWAY,CIN,,-130.0,0.5994865245303915,0.5427435387673957,5.674298576299586,0.06063000493838505,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|NYJ@DET|AWAY,oddsapi_07f552badfa8a565d1be22123713e4da,2026-09-27 17:00:00+00:00,2026,3,NYJ,DET,AWAY,NYJ,,300.0,0.3155874449047288,0.24050632911392406,7.508111579080473,0.26234977961891515,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|HOU@IND|AWAY,oddsapi_17a730b7d399feeab6a78c30767c29d2,2026-09-27 17:00:00+00:00,2026,3,HOU,IND,AWAY,HOU,,-144.0,0.6605949649131253,0.5671302866874822,9.346467822564309,0.11934146832501785,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|NE@JAX|HOME,oddsapi_1f3cfd315a24d1a7dd5859a8e6b88e18,2026-09-27 17:00:00+00:00,2026,3,NE,JAX,HOME,JAX,,-132.0,0.6033396381731448,0.5467333541731791,5.66062839999657,0.060415121637648506,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|KC@MIA|HOME,oddsapi_0339a0e41bcee12820eb3e64bb5fadb4,2026-09-27 17:00:00+00:00,2026,3,KC,MIA,HOME,MIA,,430.0,0.25453955495001784,0.18077023840712603,7.376931654289182,0.34905964123509436,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|TEN@NYG|AWAY,oddsapi_555afd4a27aaa392662881cffa8f2eef,2026-09-27 17:00:00+00:00,2026,3,TEN,NYG,AWAY,TEN,,225.0,0.2962438548650361,0.29556650246305427,0.06773524019818566,-0.03720747168863259,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|SEA@WAS|AWAY,oddsapi_2a529c108305ffa049d8b6cfdbaa4d36,2026-09-27 17:00:00+00:00,2026,3,SEA,WAS,AWAY,SEA,,-120.0,0.6015368262645738,0.5242214532871973,7.731537297737656,0.10281751481838541,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|ARI@SF|AWAY,oddsapi_9d2b09e0f9b6dd5ce0d985894f4f98fa,2026-09-27 20:05:00+00:00,2026,3,ARI,SF,AWAY,ARI,,410.0,0.2501545864207062,0.18813314037626627,6.202144604443993,0.2757883907456016,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|MIN@TB|HOME,oddsapi_f1724dead3eab61546033032fc782375,2026-09-27 20:05:00+00:00,2026,3,MIN,TB,HOME,TB,,-116.0,0.5369281694956848,0.515396797466127,2.1531372029557794,-0.00020271887010420153,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|LV@NO|AWAY,oddsapi_2e523fcb0497aa689473e290eb2b97de,2026-09-27 20:25:00+00:00,2026,3,LV,NO,AWAY,LV,,146.0,0.4017404710331176,0.390291151501339,1.1449319531778634,-0.01171844125853072,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|LA@DEN|AWAY,oddsapi_3bfd8bfb4b8e9a365a0877879b73b16b,2026-09-28 00:20:00+00:00,2026,3,LA,DEN,AWAY,LA,,-132.0,0.6156402352714095,0.5467333541731791,6.89068810982304,0.08203435290126526,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|PHI@CHI|HOME,oddsapi_47dc7baa254659f3beb2ed2b38c207b6,2026-09-29 00:15:00+00:00,2026,3,PHI,CHI,HOME,CHI,,-112.0,0.5764317126303617,0.5089094796863863,6.752223294397542,0.0911028846217562,,,pending
2026-09-16T17:48:55.703713+00:00,ml|2026|w3|BAL@DAL|HOME,2026_03_BAL_DAL,2026-09-27 00:00:00,2026,3,BAL,DAL,HOME,DAL,nflverse,130.0,0.42841372995455285,0.4170073589533933,1.1406371001159543,-0.014648421104528464,,,pending
